Size,Vintage,Wine,Locale,Country,Region,SubRegion,Appellation,Producer,Type,Color,Category,Varietal
750ml,2020,Deep Woods Estate Shiraz et al,"Australia, Western Australia, South West Australia, Margaret River",Australia,Western Australia,South West Australia,Margaret River,Deep Woods Estate,Red,Red,Dry,Shiraz Blend
750ml,2020,Cascina delle Rose Dolcetto d'Alba A Elizabeth,"Italy, Piedmont, Alba, Dolcetto d'Alba",Italy,Piedmont,Alba,Dolcetto d'Alba,Cascina delle Rose,Red,Red,Dry,Dolcetto
750ml,2019,Deviation Road Loftia,"Australia, South Australia, Mount Lofty Ranges, Adelaide Hills",Australia,South Australia,Mount Lofty Ranges,Adelaide Hills,Deviation Road,White - Sparkling,White,Sparkling,Pinot Blend
750ml,2021,Domenica Chardonnay,"Australia, Victoria, North East, Beechworth",Australia,Victoria,North East,Beechworth,Domenica,White,White,Dry,Chardonnay
750ml,2020,Faiveley Pinot Noir Bourgogne Joseph Faiveley,"France, Burgundy, Bourgogne",France,Burgundy,Unknown,Bourgogne,Faiveley,Red,Red,Dry,Pinot Noir
750ml,2021,Faiveley Pinot Noir Bourgogne Joseph Faiveley,"France, Burgundy, Bourgogne",France,Burgundy,Unknown,Bourgogne,Faiveley,Red,Red,Dry,Pinot Noir
750ml,2021,Farina Pinot Grigio Delle Venezie,"Italy, Delle Venezie",Italy,Italy,Unknown,Delle Venezie,Farina,White,White,Dry,Pinot Grigio
750ml,2021,Fasoli Gino Bardolino Classico La Corte del Pozzo,"Italy, Veneto, Bardolino Classico",Italy,Veneto,Unknown,Bardolino Classico,Fasoli Gino,Red,Red,Dry,Corvina Blend
750ml,2022,Fetherston Pinot Noir Fungi,"Australia, Victoria, Port Phillip, Yarra Valley",Australia,Victoria,Port Phillip,Yarra Valley,Fetherston,Red,Red,Dry,Pinot Noir
750ml,2021,Domaine Nathalie et Gilles Fevre Chablis,"France, Burgundy, Chablis",France,Burgundy,Chablis,Chablis,Domaine Nathalie et Gilles Fevre,White,White,Dry,Chardonnay
750ml,1001,Domaine Gavoty Var La Cigale,"France, Provence, Var",France,Provence,Unknown,Var,Domaine Gavoty,Rosé,Rosé,Dry,Rosé Blend
750ml,2021,Domaine Gavoty Var La Cigale,"France, Provence, Var",France,Provence,Unknown,Var,Domaine Gavoty,Rosé,Rosé,Dry,Rosé Blend
750ml,2021,Giacomo Boveri Piccolo Derthona,"Italy, Piedmont, Colli Tortonesi",Italy,Piedmont,Unknown,Colli Tortonesi,Giacomo Boveri,White,White,Dry,Timorasso
750ml,2016,Gilbert Family Wines Méthode Traditionnelle,"Australia, New South Wales, Central Ranges, Orange",Australia,New South Wales,Central Ranges,Orange,Gilbert Family Wines,White - Sparkling,White,Sparkling,Chardonnay Blend
750ml,2020,Girolamo Russo Etna 'a Rina,"Italy, Sicily, Etna DOC",Italy,Sicily,Unknown,Etna DOC,Girolamo Russo,Red,Red,Dry,Nerello Blend
750ml,2021,Girolamo Russo Etna Bianco Nerina,"Italy, Sicily, Etna DOC",Italy,Sicily,Unknown,Etna DOC,Girolamo Russo,White,White,Dry,Carricante
750ml,2022,Greywacke Sauvignon Blanc,"New Zealand, South Island, Marlborough",New Zealand,South Island,Marlborough,Marlborough,Greywacke,White,White,Dry,Sauvignon Blanc
750ml,2020,Hochkirch Pinot Noir Maximus,"Australia, Victoria, Western Victoria, Henty",Australia,Victoria,Western Victoria,Henty,Hochkirch,Red,Red,Dry,Pinot Noir
750ml,2021,Inama Soave Classico Vigneti di Carbonare,"Italy, Veneto, Soave Classico",Italy,Veneto,Unknown,Soave Classico,Inama,White,White,Dry,Garganega
750ml,2020,Izway Shiraz Bruce,"Australia, South Australia, Barossa, Barossa Valley",Australia,South Australia,Barossa,Barossa Valley,Izway,Red,Red,Dry,Shiraz
750ml,2020,Jim Barry Assyrtiko,"Australia, South Australia, Mount Lofty Ranges, Clare Valley",Australia,South Australia,Mount Lofty Ranges,Clare Valley,Jim Barry,White,White,Dry,Assyrtiko
750ml,2021,Jim Barry Riesling Watervale,"Australia, South Australia, Mount Lofty Ranges, Watervale",Australia,South Australia,Mount Lofty Ranges,Watervale,Jim Barry,White,White,Dry,Riesling
